행정동_코드,행정동_코드_명,자치구,업종_영문,업종_명,실제_소비액,기대_소비액,소비_격차_금액,소비_격차_비율_pct,잔차_ZScore
11290650,정릉4동,성북구,지출_총금액,전체_총소비,3593458000.0,5014062495.0,-1420604495.0,-28.33,-0.433
11290660,길음1동,성북구,지출_총금액,전체_총소비,4598410000.0,7573431446.0,-2975021446.0,-39.28,-0.648
11290685,길음2동,성북구,지출_총금액,전체_총소비,5900544500.0,2564459426.0,3336085074.0,130.09,1.082
11290705,종암동,성북구,지출_총금액,전체_총소비,6951724750.0,11241743525.0,-4290018775.0,-38.16,-0.624
11290715,월곡1동,성북구,지출_총금액,전체_총소비,2820820250.0,5650663993.0,-2829843743.0,-50.08,-0.902
11290725,월곡2동,성북구,지출_총금액,전체_총소비,5816435500.0,8819525127.0,-3003089627.0,-34.05,-0.54
11290760,장위1동,성북구,지출_총금액,전체_총소비,1664034500.0,2866970932.0,-1202936432.0,-41.96,-0.706
11290770,장위2동,성북구,지출_총금액,전체_총소비,2295591750.0,3854325580.0,-1558733830.0,-40.44,-0.673
11290780,장위3동,성북구,지출_총금액,전체_총소비,1525154000.0,1531372675.0,-6218675.0,-0.41,-0.005
11290810,석관동,성북구,지출_총금액,전체_총소비,6260089250.0,8211723721.0,-1951634471.0,-23.77,-0.352
11305534,삼양동,강북구,지출_총금액,전체_총소비,3511321250.0,4574360057.0,-1063038807.0,-23.24,-0.343
11305535,미아동,강북구,지출_총금액,전체_총소비,5718548000.0,6393916594.0,-675368594.0,-10.56,-0.145
11305545,송중동,강북구,지출_총금액,전체_총소비,8787232250.0,6925376917.0,1861855333.0,26.88,0.309
11305555,송천동,강북구,지출_총금액,전체_총소비,4602172750.0,9070192896.0,-4468020146.0,-49.26,-0.881
11305575,삼각산동,강북구,지출_총금액,전체_총소비,2677963500.0,2525358819.0,152604681.0,6.04,0.076
11305595,번1동,강북구,지출_총금액,전체_총소비,7402336000.0,6817709338.0,584626662.0,8.58,0.107
11305603,번2동,강북구,지출_총금액,전체_총소비,1093011500.0,1688845564.0,-595834064.0,-35.28,-0.565
11305608,번3동,강북구,지출_총금액,전체_총소비,1848028500.0,2281121101.0,-433092601.0,-18.99,-0.273
11305615,수유1동,강북구,지출_총금액,전체_총소비,4851875000.0,5536468046.0,-684593046.0,-12.37,-0.171
11305625,수유2동,강북구,지출_총금액,전체_총소비,2306310500.0,2428675919.0,-122365419.0,-5.04,-0.067
11305635,수유3동,강북구,지출_총금액,전체_총소비,11215877250.0,11235747795.0,-19870545.0,-0.18,-0.002
11305645,우이동,강북구,지출_총금액,전체_총소비,3684482750.0,3036913939.0,647568811.0,21.32,0.251
11305660,인수동,강북구,지출_총금액,전체_총소비,2611875500.0,7641741346.0,-5029865846.0,-65.82,-1.394
11320511,창1동,도봉구,지출_총금액,전체_총소비,3697629250.0,3158893778.0,538735472.0,17.05,0.204
11320512,창2동,도봉구,지출_총금액,전체_총소비,3426495250.0,2596109425.0,830385825.0,31.99,0.36
11320513,창3동,도봉구,지출_총금액,전체_총소비,1410860000.0,1473941592.0,-63081592.0,-4.28,-0.057
11320514,창4동,도봉구,지출_총금액,전체_총소비,3871428750.0,5427040135.0,-1555611385.0,-28.66,-0.439
11320515,창5동,도봉구,지출_총금액,전체_총소비,6483958500.0,6216581143.0,267377357.0,4.3,0.055
11320521,도봉1동,도봉구,지출_총금액,전체_총소비,4931265750.0,3715511136.0,1215754614.0,32.72,0.368
11320522,도봉2동,도봉구,지출_총금액,전체_총소비,2744876500.0,4167577748.0,-1422701248.0,-34.14,-0.542
11320660,쌍문1동,도봉구,지출_총금액,전체_총소비,1887701000.0,3114197855.0,-1226496855.0,-39.38,-0.65
11320670,쌍문2동,도봉구,지출_총금액,전체_총소비,4434894000.0,2867719663.0,1567174337.0,54.65,0.566
11320680,쌍문3동,도봉구,지출_총금액,전체_총소비,3134999000.0,4243312269.0,-1108313269.0,-26.12,-0.393
11320681,쌍문4동,도봉구,지출_총금액,전체_총소비,1746173500.0,1069539264.0,676634236.0,63.26,0.636
11320690,방학1동,도봉구,지출_총금액,전체_총소비,9318537000.0,9902565152.0,-584028152.0,-5.9,-0.079
11320700,방학2동,도봉구,지출_총금액,전체_총소비,2596263000.0,1240611565.0,1355651435.0,109.27,0.959
11320710,방학3동,도봉구,지출_총금액,전체_총소비,1812351750.0,3812822464.0,-2000470714.0,-52.47,-0.966
11350560,월계1동,노원구,지출_총금액,전체_총소비,5396729000.0,5063436631.0,333292369.0,6.58,0.083
11350570,월계2동,노원구,지출_총금액,전체_총소비,1863700750.0,1470327319.0,393373431.0,26.75,0.308
11350580,월계3동,노원구,지출_총금액,전체_총소비,6836802000.0,2980833376.0,3855968624.0,129.36,1.078
11350595,공릉1동,노원구,지출_총금액,전체_총소비,13771168500.0,15548538608.0,-1777370108.0,-11.43,-0.158
11350600,공릉2동,노원구,지출_총금액,전체_총소비,8535533500.0,13379690151.0,-4844156651.0,-36.21,-0.584
11350611,하계1동,노원구,지출_총금액,전체_총소비,7383567500.0,4802030108.0,2581537392.0,53.76,0.559
11350612,하계2동,노원구,지출_총금액,전체_총소비,685059500.0,689107448.0,-4047948.0,-0.59,-0.008
11350619,중계본동,노원구,지출_총금액,전체_총소비,6470693500.0,3507149447.0,2963544053.0,84.5,0.795
11350621,중계1동,노원구,지출_총금액,전체_총소비,4671801750.0,3777587469.0,894214281.0,23.67,0.276
11350624,중계4동,노원구,지출_총금액,전체_총소비,6471158750.0,4300837202.0,2170321548.0,50.46,0.53
11350625,중계2?3동,노원구,지출_총금액,전체_총소비,8900703500.0,4611692026.0,4289011474.0,93.0,0.854
11350630,상계1동,노원구,지출_총금액,전체_총소비,9216686000.0,8348688683.0,867997317.0,10.4,0.128
11350640,상계2동,노원구,지출_총금액,전체_총소비,19775217000.0,7658521482.0,12116695518.0,158.21,1.232
11350665,상계3?4동,노원구,지출_총금액,전체_총소비,1433156500.0,4181226163.0,-2748069663.0,-65.72,-1.39
11350670,상계5동,노원구,지출_총금액,전체_총소비,2560583500.0,3532920333.0,-972336833.0,-27.52,-0.418
11350695,상계6?7동,노원구,지출_총금액,전체_총소비,15481279000.0,21062416806.0,-5581137806.0,-26.5,-0.4
11350700,상계8동,노원구,지출_총금액,전체_총소비,1783933000.0,2408044938.0,-624111938.0,-25.92,-0.39
11350710,상계9동,노원구,지출_총금액,전체_총소비,1889283750.0,3047411638.0,-1158127888.0,-38.0,-0.621
11350720,상계10동,노원구,지출_총금액,전체_총소비,1052574750.0,959233512.0,93341238.0,9.73,0.121
11380510,녹번동,은평구,지출_총금액,전체_총소비,5272473000.0,7614311019.0,-2341838019.0,-30.76,-0.477
11380520,불광1동,은평구,지출_총금액,전체_총소비,7061843000.0,8890288230.0,-1828445230.0,-20.57,-0.299
11380530,불광2동,은평구,지출_총금액,전체_총소비,5027513750.0,3548459502.0,1479054248.0,41.68,0.452
11380551,갈현1동,은평구,지출_총금액,전체_총소비,5625848000.0,6040456997.0,-414608997.0,-6.86,-0.092
11380552,갈현2동,은평구,지출_총금액,전체_총소비,6373850750.0,4623685528.0,1750165222.0,37.85,0.417
11380560,구산동,은평구,지출_총금액,전체_총소비,2718652250.0,2878118962.0,-159466712.0,-5.54,-0.074
11380570,대조동,은평구,지출_총금액,전체_총소비,8234430000.0,13522306718.0,-5287876718.0,-39.1,-0.644
11380580,응암1동,은평구,지출_총금액,전체_총소비,6513861750.0,7517274916.0,-1003413166.0,-13.35,-0.186
11380590,응암2동,은평구,지출_총금액,전체_총소비,1731551500.0,2432687450.0,-701135950.0,-28.82,-0.441
11380600,응암3동,은평구,지출_총금액,전체_총소비,8461424250.0,6740462919.0,1720961331.0,25.53,0.295
11380625,역촌동,은평구,지출_총금액,전체_총소비,7106540000.0,10894501526.0,-3787961526.0,-34.77,-0.555
11380631,신사1동,은평구,지출_총금액,전체_총소비,4515160500.0,2444325400.0,2070835100.0,84.72,0.797
11380632,신사2동,은평구,지출_총금액,전체_총소비,1426609500.0,1545521034.0,-118911534.0,-7.69,-0.104
11380640,증산동,은평구,지출_총금액,전체_총소비,2256348500.0,2157456801.0,98891699.0,4.58,0.058
11380650,수색동,은평구,지출_총금액,전체_총소비,884228000.0,1733109254.0,-848881254.0,-48.98,-0.874
11380690,진관동,은평구,지출_총금액,전체_총소비,18381749000.0,12454156788.0,5927592212.0,47.6,0.505
11410520,천연동,서대문구,지출_총금액,전체_총소비,2603649750.0,3253723929.0,-650074179.0,-19.98,-0.289
11410555,북아현동,서대문구,지출_총금액,전체_총소비,2325119500.0,5908845949.0,-3583726449.0,-60.65,-1.211
11410565,충현동,서대문구,지출_총금액,전체_총소비,4092127500.0,17161989018.0,-13069861518.0,-76.16,-1.861
11410585,신촌동,서대문구,지출_총금액,전체_총소비,41497593000.0,26409570372.0,15088022628.0,57.13,0.587
11410615,연희동,서대문구,지출_총금액,전체_총소비,53131519000.0,15307966635.0,37823552365.0,247.08,1.616
11410620,홍제1동,서대문구,지출_총금액,전체_총소비,3482923000.0,5293494729.0,-1810571729.0,-34.2,-0.544
11410640,홍제3동,서대문구,지출_총금액,전체_총소비,4374198500.0,5007172463.0,-632973963.0,-12.64,-0.175
11410655,홍제2동,서대문구,지출_총금액,전체_총소비,1555637500.0,1188669409.0,366968091.0,30.87,0.349
11410660,홍은1동,서대문구,지출_총금액,전체_총소비,1375357750.0,2288631199.0,-913273449.0,-39.9,-0.661
11410685,홍은2동,서대문구,지출_총금액,전체_총소비,3676488750.0,4881578734.0,-1205089984.0,-24.69,-0.368
11410690,남가좌1동,서대문구,지출_총금액,전체_총소비,3092818750.0,3361896371.0,-269077621.0,-8.0,-0.108
11410700,남가좌2동,서대문구,지출_총금액,전체_총소비,5550889000.0,5756630807.0,-205741807.0,-3.57,-0.047
11410710,북가좌1동,서대문구,지출_총금액,전체_총소비,1992303500.0,2139959455.0,-147655955.0,-6.9,-0.093
11410720,북가좌2동,서대문구,지출_총금액,전체_총소비,3829499750.0,5505935996.0,-1676436246.0,-30.45,-0.471
11440555,아현동,마포구,지출_총금액,전체_총소비,6396546750.0,14325049712.0,-7928502962.0,-55.35,-1.047
11440565,공덕동,마포구,지출_총금액,전체_총소비,5783877250.0,18905982845.0,-13122105595.0,-69.41,-1.538
11440585,도화동,마포구,지출_총금액,전체_총소비,8352968250.0,11518684466.0,-3165716216.0,-27.48,-0.417
11440590,용강동,마포구,지출_총금액,전체_총소비,7612605000.0,8949982349.0,-1337377349.0,-14.94,-0.21
11440600,대흥동,마포구,지출_총금액,전체_총소비,5931293500.0,14140081489.0,-8208787989.0,-58.05,-1.128
11440610,염리동,마포구,지출_총금액,전체_총소비,69945671750.0,2409059797.0,67536611953.0,2803.44,4.374
11440630,신수동,마포구,지출_총금액,전체_총소비,2992317750.0,3160633317.0,-168315567.0,-5.33,-0.071
11440655,서강동,마포구,지출_총금액,전체_총소비,5967361500.0,7891407599.0,-1924046099.0,-24.38,-0.363
11440660,서교동,마포구,지출_총금액,전체_총소비,60523846750.0,60774842602.0,-250995852.0,-0.41,-0.005
11440680,합정동,마포구,지출_총금액,전체_총소비,10028440250.0,6086964203.0,3941476047.0,64.75,0.648
11440690,망원1동,마포구,지출_총금액,전체_총소비,7918460250.0,5288255656.0,2630204594.0,49.74,0.524
11440700,망원2동,마포구,지출_총금액,전체_총소비,3731910000.0,3396722906.0,335187094.0,9.87,0.122
11440710,연남동,마포구,지출_총금액,전체_총소비,8217474250.0,2423452440.0,5794021810.0,239.08,1.585
